uid,down_vote_count
2296,323
8275,59
11248,18
15011,48
8769,3
1470,47
2054,24
16376,16
9297,61
13577,4
165,224
114,86
14314,168
1275,38
13403,60
7375,42
418,305
10918,23
7887,46
3020,15
13608,21
17,72
1484,56
7218,11
6489,601
7437,64
11767,50
7510,5
9796,37
16462,19
9063,13
17992,6
18472,3
6946,13
15055,14
5699,22
1946,4
516,45
10917,126
13318,45
17767,28
3487,319
10865,97
17086,116
15603,116
6671,82
4410,61
6874,69
17555,43
2673,138
10805,43
7934,270
6606,20
9862,165
8685,90
6984,5
8483,120
11601,88
910,56
16800,1
799,136
13614,16
6275,67
6056,54
3532,100
17157,5
1653,23
5336,3
18027,1
13728,199
15511,26
14270,20
665,2
2101,72
437,5
7997,55
15785,1
16147,25
196,10
9009,9
18142,21
13975,89
16777,1
11804,17
11080,71
16413,2
8873,1
12267,658
7494,3
12211,169
17921,5
17708,2
17735,1
14111,13
17635,16
11456,4
216,160
9957,15
13630,39
14954,2
15140,10
911,21
419,235
14832,24
9787,31
5544,11
14394,161
13181,1
6313,20
733,7
6576,3
16909,49
1582,19
16306,10
9555,195
9553,19
7969,72
17010,98
17909,10
3730,53
15370,2
17659,5
1552,77
6708,63
9431,6
9456,9
14479,125
18300,1
10169,18
14453,20
12968,4
1805,27
13009,58
7794,12
232,17
13937,4
13786,189
1073,25
12661,11
6345,10
7543,6
17060,28
8201,26
17979,4
1779,120
9054,67
17063,26
15973,43
11579,3
13016,11
10528,39
5851,15
13785,30
12697,7
14225,1
1105,98
14575,20
14650,34
12843,6
14784,15
17311,1
15298,59
8633,7
6483,7
776,15
9600,203
6013,14
16647,20
13524,7
1124,46
12381,50
840,3
7599,19
6967,21
9397,7
14245,55
14176,18
8587,11
15271,1
10967,12
2533,30
210,122
245,148
8987,23
16630,1
5721,25
17593,2
16254,16
2145,48
9716,11
8235,21
1967,21
16360,19
16199,52
15462,1
16545,5
14025,1
3501,15
1020,24
14516,2
7857,8
14542,6
12242,6
5488,3
11160,48
8244,14
8965,4
1387,1
10372,63
653,97
2482,64
13850,5
14800,5
1132,43
7553,60
12189,13
3105,4
17014,27
15780,10
10013,44
357,31
15300,16
15246,1
8423,30
16966,6
11515,3
17728,2
8542,12
14812,9
15782,32
9602,7
15483,7
11982,13
15653,16
11592,2
16374,20
6333,19
11800,6
12573,32
12067,34
1567,3
3709,31
4984,48
10862,3
2846,45
5898,10
11846,14
1263,18
13585,14
13867,10
1348,4
17016,10
9352,2
16922,11
4525,57
156,8
524,162
6667,11
13311,5
17513,9
17098,11
469,7
13059,26
14035,7
9348,5
18058,1
17884,3
15956,14
15074,8
11498,13
12311,10
18041,1
8616,16
836,7
2944,4
1217,3
8679,13
2058,50
5511,101
12535,8
8512,2
7592,6
13782,15
2065,7
14022,1
13038,5
8792,144
7365,2
11917,5
11130,39
15996,3
716,2
6450,3
17532,33
8992,8
1702,10
9846,126
7528,24
8209,6
15066,2
17143,3
1189,13
3196,1
987,7
7485,197
12274,6
569,26
1179,17
1637,14
7964,52
6705,1
16823,9
6352,5
6616,8
15274,23
14133,24
6358,10
798,41
8066,4
13063,122
8055,16
2360,25
12041,124
14546,11
7093,5
17245,16
11518,11
8410,2
11428,4
8479,3
17528,5
11725,15
1006,1
9382,31
4329,7
8166,9
14125,1
17553,2
4346,39
11512,28
8663,5
12559,2
3645,2
12658,7
11100,1
7044,1
11353,1
3122,1
9919,12
12260,22
15908,40
15722,3
2086,1
16970,9
15235,9
9301,2
16351,2
7325,11
4118,8
4520,5
14040,32
7980,13
6293,7
14424,8
5843,23
8645,10
15155,7
1254,1
565,138
6319,5
15784,9
16180,2
7142,13
4439,1
6076,17
16632,18
4724,94
8500,10
2938,7
17582,8
12291,15
13710,32
2309,4
14018,6
6190,31
17273,3
14072,2
17180,2
2048,44
2962,4
17313,3
555,8
6763,14
14264,2
6279,3
14442,32
13290,6
11718,6
1766,17
11489,1
6075,3
16950,2
10035,16
6153,1
3041,8
6405,18
13192,15
16583,4
766,28
15745,1
12904,14
10375,5
11946,9
728,43
9599,1
14157,12
11237,4
10193,3
1842,12
12875,5
14707,3
7322,30
5924,5
8160,6
9969,1
14263,8
9013,4
7601,42
15243,21
18302,1
13906,3
7829,27
8023,6
2333,3
15380,16
6690,23
17436,2
16349,6
9683,3
17322,1
18529,1
3484,11
2602,2
1927,125
18732,5
18288,31
16939,1
16606,11
16906,1
8870,20
9637,9
9681,2
17690,12
14368,1
12493,7
9499,7
18004,21
14455,1
18918,36
13802,7
15641,1
12975,50
2814,3
6871,12
16821,3
14463,7
12297,20
16111,9
17219,2
17926,4
17876,2
8708,6
18887,3
18598,3
17064,4
6525,7
8841,2
15554,1
2791,12
13805,7
18942,25
12533,64
3541,6
6112,2
19209,5
3012,170
11589,6
14482,21
1021,28
2110,14
1919,33
18984,2
6586,16
17968,26
17722,9
14564,4
5346,2
18317,1
18121,2
14722,9
9932,4
2206,4
18262,1
1,1
14914,1
6698,9
1765,22
2984,42
19488,1
16575,1
14122,36
16955,53
11759,22
17339,1
19626,4
14520,1
11755,5
14330,15
17416,1
12080,72
12147,2
19193,27
1549,4
18609,3
16527,8
19627,7
15724,3
17055,25
8600,11
16502,1
14838,5
7225,27
13315,13
9826,2
7276,36
19750,1
18570,2
19693,26
19469,74
15231,2
17089,9
19508,11
5812,10
13138,7
17835,1
9065,5
18939,5
299,2
2039,1
19819,20
16353,27
17348,1
19964,1
13151,8
18335,5
20469,2
6171,119
20471,1
16611,1
16117,1
7234,9
8916,7
9137,26
19866,2
7429,1
18974,1
9677,10
3685,39
15802,44
18691,8
13328,18
17566,3
1376,2
13960,1
14734,2
8785,16
19484,7
18299,13
5382,3
19581,15
12653,5
20030,16
13853,2
3663,11
95,1
11543,30
7236,4
10943,6
10140,6
12318,2
12620,1
7470,5
12622,2
6794,4
4887,35
1339,12
9251,12
12421,1
3700,5
1331,134
6505,2
8604,4
11380,4
2725,50
7107,5
12570,10
12626,1
12198,3
9590,2
11202,2
10512,6
12556,1
12575,2
8480,5
2133,17
10845,2
10288,1
7919,3
3320,1
10948,1
9821,11
12631,2
10249,1
6824,1
3627,6
9250,2
2930,2
11726,4
11535,1
12025,1
7314,3
3269,7
10801,20
3205,6
11180,3
570,7
9999,6
8319,1
8576,4
12638,2
6074,5
9014,7
11858,1
12532,2
11868,9
10218,23
9253,7
7727,1
5760,41
10868,4
8850,9
5192,11
5121,3
10532,4
6573,72
1644,31
7551,4
5636,6
7118,1
6942,4
8203,3
8054,6
11426,7
8658,9
7097,1
9460,3
12033,1
12646,4
11944,1
1001,27
12300,1
8522,24
9613,2
11777,1
9830,1
1654,1
1122,4
6508,2
12413,10
8584,1
5968,1
1075,3
9304,23
7516,52
3338,4
8157,1
10910,1
12531,6
10775,1
3317,11
12173,4
9554,41
7452,1
11570,1
211,2
9454,6
9868,5
12662,3
9233,2
12584,2
5660,1
10483,3
7071,1
7894,19
3592,11
10877,3
11242,17
11349,1
8948,1
6951,1
9185,3
4615,3
8328,1
11796,5
133,18
12417,1
6558,8
11962,6
7526,1
9387,8
8637,1
461,3
7931,5
8533,1
5390,13
11927,1
9706,14
8320,1
8716,8
11554,6
11340,1
6886,4
7511,2
8574,1
6539,3
9159,3
10074,1
8704,17
8150,2
7472,38
6596,2
2132,10
11355,11
12390,15
11335,35
12299,1
11113,1
11342,27
11345,17
11358,33
12540,2
9167,1
9147,4
10572,1
11715,15
176,26
10779,6
9763,1
9569,1
3192,1
12086,3
9319,2
11367,28
10479,2
7662,7
10255,1
2486,1
12707,3
12706,9
5000,63
347,1
6092,11
10744,1
11154,2
8321,4
7815,5
9164,1
5606,14
12714,3
8982,24
12718,1
6974,4
5861,8
9313,10
12680,2
6172,1
12528,1
9126,2
9388,1
10059,10
12192,3
11077,3
12738,16
8889,1
11201,2
8507,37
8471,1
9790,1
7164,1
1148,1
12537,34
12745,1
7247,5
11368,32
5890,1
11362,30
11364,24
9321,2
10785,2
12752,1
12751,2
3578,1
12753,29
11239,34
11998,3
11954,2
12698,1
12618,29
259,6
11245,11
271,22
12769,16
12773,22
11530,1
12576,5
12617,1
9949,3
7030,1
7356,1
5852,16
12782,22
11739,6
8590,1
12789,1
12742,3
9901,2
215,1
6194,1
9455,6
11710,2
10190,1
12727,4
9655,3
6108,1
11787,2
10008,1
250,4
7982,1
9921,1
7466,1
12783,1
12814,2
12813,16
12819,15
12824,17
12825,2
11360,10
12775,1
12831,12
11178,1
12764,3
3202,1
12114,1
6952,8
12836,9
12399,1
12840,6
12384,2
9506,2
12343,3
9544,6
12316,3
7988,1
11321,3
12864,1
8091,1
6961,2
12868,1
7081,1
7256,1
4765,1
8648,1
12811,5
6493,2
1226,36
2735,7
10335,1
12874,14
3216,9
3748,1
12877,19
12882,10
10447,2
12887,19
7802,2
10240,1
10905,2
9752,1
12895,4
12898,15
574,2
5473,1
12899,19
12905,9
7057,1
2858,21
8926,1
427,48
12913,2
9981,1
12872,4
12758,1
6765,1
14,8
12435,2
161,2
12935,5
10109,1
3212,16
11365,14
11366,8
12634,1
6766,1
8988,5
12950,6
7607,1
12953,3
5428,2
12955,5
12933,2
8415,4
11730,4
6207,1
6672,2
209,1
10159,3
12485,1
10568,1
11444,2
5838,2
8247,1
1506,3
1507,1
1508,1
1509,1
12956,1
12979,4
7493,1
12978,7
11977,2
6193,2
12977,1
2314,9
9945,2
7517,2
8709,1
8466,1
12969,1
12983,1
12972,1
739,3
7890,3
3065,10
12588,2
6875,1
12934,1
2532,5
13000,9
3250,1
11555,3
1250,2
154,3
13007,9
6003,96
7848,3
13008,9
11584,1
3538,1
13003,3
9819,1
12829,3
8594,1
7249,16
11344,1
11633,1
9024,1
13017,1
1283,11
13023,7
13024,10
13026,8
10462,1
13028,9
13029,9
12161,1
13031,4
13032,6
13033,10
12880,1
13035,8
13037,8
2977,1
13040,5
13041,14
13044,1
2147,1
13047,9
12216,7
13050,10
13052,5
11707,6
9350,1
12310,10
5976,3
7098,2
12410,1
9688,1
9095,1
11949,1
173,4
7827,1
1328,2
11,5
3603,1
1191,4
8742,1
3744,8
7831,12
2305,12
13098,3
8655,13
5149,1
1450,54
7834,1
11705,1
6341,1
595,2
12994,1
3128,1
5666,1
1472,10
7499,1
9707,2
2189,1
5572,1
42,3
7068,2
754,13
11928,1
6591,8
1626,2
12700,20
894,14
747,3
11820,4
2771,12
1722,1
4766,1
8847,1
6078,2
4906,3
5707,1
1347,5
618,4
4334,11
12332,3
11217,4
587,6
4296,1
1416,2
8304,1
1571,3
13278,18
5521,4
9384,2
5722,8
8354,1
13377,2
1789,1
5947,1
2268,2
1536,1
4896,1
1674,1
3757,2
13897,19
695,8
14383,3
3693,1
12037,4
9673,7
8751,4
11099,33
14856,5
13634,1
14770,36
14513,12
1820,3
1097,2
1028,1
4761,5
11115,3
13090,1
12788,1
7121,5
13746,74
13979,10
2410,3
16339,6
291,1
14318,2
1986,1
8946,2
4,3
14692,2
252,13
16211,3
7302,1
14081,3
9580,1
15709,14
16100,21
17018,1
14977,6
7146,1
8155,2
15577,1
17030,5
14247,5
583,6
13602,1
8694,2
449,2
9885,2
12543,1
11551,1
9552,1
13864,1
7290,1
12438,6
16790,3
17078,1
16550,1
8623,1
8262,1
11420,7
16131,3
7550,6
13266,1
5393,2
14276,1
6903,1
11792,1
15623,4
11506,1
17033,2
15606,4
189,1
15043,1
16253,1
13166,1
12514,2
8978,2
13587,1
14920,3
7115,1
11221,1
15472,2
7384,1
13931,1
4841,1
13118,2
6453,1
12857,1
2852,2
584,2
10936,1
13612,1
9644,1
14298,3
17001,5
12995,2
15131,4
16852,2
13771,1
17049,4
14953,1
15889,3
12319,2
15998,1
15228,2
17338,2
17424,2
7540,1
14922,1
17343,1
14943,1
13879,1
113,1
16354,1
4391,1
1421,2
7330,1
9186,2
7691,1
14059,3
17469,6
9596,1
12781,3
11096,5
7630,4
16952,1
16542,1
15059,2
17356,7
11082,2
10290,4
7232,1
8468,1
16189,3
11491,2
15091,1
13424,4
15177,2
17073,6
2651,2
8382,1
17633,1
18277,5
16759,2
18242,6
2524,2
16672,1
13983,1
18557,4
18707,2
15429,1
16512,2
5513,1
15583,1
3308,1
15051,3
14525,2
17231,4
17605,3
17312,1
14467,1
15248,2
7085,1
18881,2
13400,3
13067,4
17978,1
18874,21
13936,2
12654,4
15110,3
13641,4
19093,9
14168,1
18316,1
16511,5
14474,1
112,3
10153,1
14500,4
1719,1
13981,2
18023,1
14807,3
14934,1
18360,3
14684,7
15870,2
17946,2
17993,22
15979,3
18035,2
12191,2
18972,3
16707,2
19152,1
18911,8
18307,1
16220,2
18817,1
18525,1
12870,2
17280,1
8775,1
13428,1
18473,1
5008,1
15063,1
17152,1
19267,1
15415,5
11475,4
12909,2
17984,1
19387,1
16706,1
15416,1
19474,1
13549,1
14962,1
18841,7
19536,1
18171,1
18367,4
12263,1
16849,1
16154,2
13499,1
18061,1
18097,1
16114,1
16454,1
18346,2
18287,1
13564,3
14787,3
19364,3
18467,7
16373,1
18218,1
13342,1
15461,1
19023,1
13812,1
17800,1
5628,1
18503,1
17938,2
13696,2
18965,1
19806,4
16382,1
19403,2
8264,1
19029,1
4898,1
16122,6
18712,4
1784,2
17145,1
18220,1
17175,1
17797,2
14401,4
9849,1
18600,5
18991,1
2613,1
6910,1
2710,2
19294,8
521,3
16036,3
10856,4
19684,1
9922,2
15768,1
13869,2
19268,1
18243,1
15353,1
20033,2
19900,1
18864,2
10481,2
17072,3
19507,1
18892,8
14905,4
1587,1
7281,2
4429,1
13829,1
19074,1
18416,1
16766,1
20138,1
8986,1
19904,4
15080,1
9724,1
13873,1
19787,2
20229,1
13068,1
17524,3
13217,14
14287,3
14128,1
20008,2
815,1
16397,3
18867,1
16023,1
19960,1
19374,4
15922,1
20025,1
7461,1
16519,1
14809,1
10811,1
17924,1
19587,1
10537,1
20097,5
20297,1
18227,4
10922,5
18937,3
17784,3
13958,2
20114,1
19562,1
19774,2
16960,3
19967,2
15107,1
11336,1
8973,1
19959,1
19072,2
20075,1
991,1
18068,1
20327,1
20726,1
17549,1
15401,1
17864,1
17923,1
16431,1
19661,2
17232,1
20232,2
17894,1
16020,1
20629,2
15743,1
3629,1
20687,6
2231,3
832,1
16974,1
17691,4
14412,4
20786,3
16338,1
21079,1
20261,4
21585,1
20132,1
13329,1
