uid,question_downvoted_count
17423,3
18262,1
10805,7
15055,3
6311,1
8522,15
2961,23
18523,1
17998,14
6021,1
18393,20
17479,14
17588,9
18380,1
16100,8
13786,3
1553,25
18271,7
18178,1
17693,1
17520,1
15380,4
16219,25
14516,7
17592,12
18111,1
987,1
6616,3
17189,1
12573,5
16632,9
13975,11
11080,4
570,5
4906,151
1506,2
7934,4
14934,3
17634,12
17382,7
6984,2
17831,19
8633,2
15870,9
17812,1
3042,2
1820,2
11152,5
17397,2
9555,5
733,2
8247,1
18729,10
18165,1
9297,7
16964,1
13632,4
2296,9
18598,19
19194,69
19232,8
19237,1
19212,4
17768,13
16147,2
17658,1
19626,1
15499,5
18618,1
19469,4
799,21
18918,2
17060,4
19870,4
17582,5
15246,2
20240,1
19459,2
17443,8
16550,5
20111,8
18228,1
8916,2
17309,4
14067,1
8321,38
21204,1
17436,6
19756,4
3532,24
12208,1
3012,2
3616,56
245,2
1203,4
9251,2
12276,66
12566,1
1582,15
5851,3
1927,2
11217,2
11933,25
1389,1
11130,1
12574,1
11211,3
9164,1
15,18
7485,5
1734,3
8705,4
8256,4
8899,1
6725,2
11928,1
4134,1
12679,1
2858,4
380,1
5847,2
5119,1
1450,5
11727,1
528,29
1189,1
12494,7
12690,1
1148,7
6591,1
9043,1
9673,2
7047,2
7392,1
6874,1
549,1
12767,1
9455,3
12522,1
12446,18
12552,1
4369,1
12796,1
8133,1
8655,1
3592,2
9600,1
12411,1
12811,1
3317,1
8604,6
3693,1
12862,2
12189,10
6763,1
11715,10
8606,1
4,1
8852,10
6493,1
12940,3
382,1
12954,6
9508,1
9819,7
12979,1
11831,1
12973,1
12311,46
6967,1
12435,15
11160,1
12953,1
2329,1
6078,1
5544,2
13045,2
8202,1
1484,3
3487,9
11939,7
12349,1
13099,1
11999,1
12493,1
13130,2
12926,11
13135,7
8203,11
6246,1
13147,2
8423,2
9846,1
1848,1
13179,16
7529,4
2305,1
1637,2
13226,1
910,3
12829,1
13193,2
1339,5
3685,4
155,2
12693,3
12946,1
13282,1
13294,2
13241,1
744,14
9677,1
9606,2
11238,4
13346,2
13353,3
12943,3
13383,1
13396,2
6171,5
5805,1
13425,1
2613,3
12421,2
12192,1
3311,1
12933,1
11202,1
13492,4
8865,1
13454,2
13490,1
8847,1
13605,4
13611,3
13138,1
2975,1
10218,5
13652,1
2561,2
13658,10
12698,3
12962,2
6389,7
13509,5
1478,6
13290,1
13725,3
11101,1
12697,3
12722,1
1097,3
216,2
12592,3
13808,3
8769,1
6794,1
12343,1
1766,1
9384,2
8669,7
13726,1
13905,6
13737,6
13785,1
13715,2
5924,1
7490,1
12297,8
10868,5
2962,1
13904,13
14124,1
7662,1
9580,1
11100,6
10811,1
12171,2
14203,3
13871,1
14180,1
10140,1
6208,2
524,3
14247,1
14378,2
6388,1
9055,3
6598,1
14229,2
14133,1
14118,2
8751,1
37,1
7093,2
11221,1
1434,1
2268,1
13897,1
10512,9
6005,1
1552,1
14809,1
1263,1
2314,4
6609,3
6466,22
13090,14
15411,1
9304,4
14707,1
3022,4
5521,2
4329,8
6611,1
13958,1
555,1
15758,1
13602,3
5999,1
14480,1
3338,1
6347,1
13946,3
4724,5
13220,2
1006,1
2791,3
13913,2
16122,5
15709,7
14699,7
3700,3
16996,28
17033,1
17018,2
11700,18
1283,1
14157,3
14034,1
16955,2
6238,1
16983,3
17151,1
1940,1
8240,1
16254,2
6567,6
17299,52
2735,9
165,2
17061,4
15300,1
17351,13
17357,19
17334,1
9554,1
17080,3
6727,1
13019,1
15784,1
1110,1
17424,12
4410,3
17322,2
14018,1
173,1
17506,8
7997,1
14139,9
17504,2
17677,5
14738,1
11446,1
1777,5
17673,1
10216,1
18651,1
9686,1
15353,1
18623,7
6786,2
13916,1
18768,1
7085,18
13059,1
13901,1
18868,1
7249,1
19213,2
17705,3
6698,9
19291,1
418,1
19378,2
19221,2
19487,1
19556,1
12870,1
19034,1
1655,9
19770,16
14812,1
7817,1
19109,18
16189,1
13989,1
10352,1
7281,2
14905,1
19066,7
20277,1
13909,4
20362,1
17814,1
18068,2
20236,7
14081,1
17377,1
12313,3
14241,2
17,1
18258,1
20937,5
6190,5
17513,1
21134,5
20200,1
3663,3
16987,1
12781,1
20687,2
16818,1
18004,1
798,1
18840,2
20237,1
20261,1
21110,1
7225,1
16338,3
21163,3
21466,3
16303,1
21463,1
8841,4
17416,4
749,1
21251,1
